event_time,user_id,event_type,product_id,price,category_code_2,category_code_1,category_code_0,brand
2019-10-01 04:53:29 UTC,512386086,view,1801849,635.25,tv,video,electronics,samsung
2019-10-01 04:58:31 UTC,512386086,purchase,1801849,635.25,tv,video,electronics,samsung
2019-10-01 05:27:14 UTC,512386086,view,2701735,1297.19,refrigerators,kitchen,appliances,lg
2019-10-01 05:32:04 UTC,512386086,purchase,2701735,1297.19,refrigerators,kitchen,appliances,lg
2019-10-01 09:37:06 UTC,512386086,purchase,1801849,635.25,tv,video,electronics,samsung
2019-10-02 05:47:10 UTC,512386086,view,1801849,635.28,tv,video,electronics,samsung
2019-10-02 05:47:25 UTC,512386086,cart,1801849,635.28,tv,video,electronics,samsung
2019-10-02 05:49:10 UTC,512386086,purchase,1801849,635.28,tv,video,electronics,samsung
2019-10-02 05:49:44 UTC,512386086,view,1801849,635.28,tv,video,electronics,samsung
2019-10-02 05:55:17 UTC,512386086,view,1801849,635.28,tv,video,electronics,samsung
2019-10-02 05:57:30 UTC,512386086,purchase,1801849,635.28,tv,video,electronics,samsung
2019-10-02 05:58:04 UTC,512386086,view,1801849,635.28,tv,video,electronics,samsung
2019-10-02 05:58:17 UTC,512386086,view,1801555,462.25,tv,video,electronics,lg
2019-10-02 06:02:11 UTC,512386086,purchase,1801555,462.25,tv,video,electronics,lg
2019-10-03 05:45:04 UTC,512386086,view,1801555,462.2,tv,video,electronics,lg
2019-10-03 05:51:29 UTC,512386086,purchase,1801555,462.2,tv,video,electronics,lg
2019-10-03 11:12:00 UTC,512386086,view,1801555,462.17,tv,video,electronics,lg
2019-10-04 09:56:37 UTC,512386086,view,1801555,460.48,tv,video,electronics,lg
2019-10-04 09:57:27 UTC,512386086,purchase,1801555,460.48,tv,video,electronics,lg
2019-10-04 12:32:22 UTC,512386086,view,4201541,898.35,air_conditioner,environment,appliances,artel
2019-10-04 12:37:27 UTC,512386086,purchase,4201541,898.35,air_conditioner,environment,appliances,artel
2019-10-04 12:39:20 UTC,512386086,view,4201541,898.35,air_conditioner,environment,appliances,artel
2019-10-04 12:39:41 UTC,512386086,view,1801555,460.48,tv,video,electronics,lg
2019-10-04 12:44:47 UTC,512386086,purchase,1801555,460.48,tv,video,electronics,lg
2019-10-05 04:43:07 UTC,512386086,view,4201541,898.35,air_conditioner,environment,appliances,artel
2019-10-05 04:46:06 UTC,512386086,purchase,4201541,898.35,air_conditioner,environment,appliances,artel
2019-10-05 04:46:41 UTC,512386086,view,4201541,898.35,air_conditioner,environment,appliances,artel
2019-10-05 04:46:47 UTC,512386086,view,1801555,460.48,tv,video,electronics,lg
2019-10-05 04:47:50 UTC,512386086,purchase,1801555,460.48,tv,video,electronics,lg
2019-10-05 04:48:21 UTC,512386086,view,1801555,460.48,tv,video,electronics,lg
2019-10-05 05:12:10 UTC,512386086,view,4201541,898.35,air_conditioner,environment,appliances,artel
2019-10-05 05:14:36 UTC,512386086,purchase,4201541,898.35,air_conditioner,environment,appliances,artel
2019-10-05 05:14:58 UTC,512386086,view,4201541,898.35,air_conditioner,environment,appliances,artel
2019-10-05 05:15:04 UTC,512386086,view,1801555,460.48,tv,video,electronics,lg
2019-10-05 05:16:41 UTC,512386086,purchase,1801555,460.48,tv,video,electronics,lg
2019-10-05 05:17:18 UTC,512386086,view,1801555,460.48,tv,video,electronics,lg
2019-10-05 06:00:49 UTC,512386086,view,4201541,898.35,air_conditioner,environment,appliances,artel
